test,algorithm,result,time_us
42256112547344662335632375234664751157,alphabeta,true,0
446344376542772437261323626216317,negamax,true,1
446344376542772437261323626216317,alphabeta,true,1
736735536662233125221645231174161747474,negamax,true,0
736735536662233125221645231174161747474,alphabeta,true,0
112457643525452232121777734413736154356,negamax,true,0
112457643525452232121777734413736154356,alphabeta,true,0
3324712115377752153334227146256,negamax,true,109
3324712115377752153334227146256,alphabeta,true,21
217367375336313761566477521556415,negamax,true,0
217367375336313761566477521556415,alphabeta,true,0
574613716631655465371534672443752241,negamax,true,23
574613716631655465371534672443752241,alphabeta,true,5
62135524454472424712277155561,negamax,true,1793
62135524454472424712277155561,alphabeta,true,148
373357235337542177155572244111612264,negamax,true,1
373357235337542177155572244111612264,alphabeta,true,0
6624634624356761732554377255343271754,negamax,true,1
6624634624356761732554377255343271754,alphabeta,true,1
643744215561171257717355451466224,negamax,true,69
643744215561171257717355451466224,alphabeta,true,10
223653332753242251655476671167541677,negamax,true,1
223653332753242251655476671167541677,alphabeta,true,1
72435116367432615375446632372672127,negamax,true,21
72435116367432615375446632372672127,alphabeta,true,8
773443147153361661556344777341156556,negamax,true,0
773443147153361661556344777341156556,alphabeta,true,0
56274563661245177154734234673,negamax,true,48702
56274563661245177154734234673,alphabeta,true,1117
73752151652271132154477417355443243636,negamax,true,0
73752151652271132154477417355443243636,alphabeta,true,0
242677727447652422765165411533111,negamax,true,17
242677727447652422765165411533111,alphabeta,true,9
52332734325736161165177246571361,negamax,true,19
52332734325736161165177246571361,alphabeta,true,2
721625337652353776633166217224,negamax,true,34
721625337652353776633166217224,alphabeta,true,6
4213475457617611441224613556575,negamax,true,3465
4213475457617611441224613556575,alphabeta,true,82
15153233665512265253266243367171,negamax,true,32
15153233665512265253266243367171,alphabeta,true,6
25567612321766542715753451236,negamax,true,27876
25567612321766542715753451236,alphabeta,true,795
2135616344362616617444333774221777125,negamax,true,0
2135616344362616617444333774221777125,alphabeta,true,0
64261557453565765234637331431614777122,negamax,true,3
64261557453565765234637331431614777122,alphabeta,true,1
21256255675641611566521727713372,negamax,true,4
21256255675641611566521727713372,alphabeta,true,4
63431611215716125654643233632,negamax,true,839
63431611215716125654643233632,alphabeta,true,46
333365225526525363521266677117777411,negamax,true,0
333365225526525363521266677117777411,alphabeta,true,0
217575357156625263236237561376,negamax,true,59
217575357156625263236237561376,alphabeta,true,17
3661776616547716114455577345433215,negamax,true,0
3661776616547716114455577345433215,alphabeta,true,0
5543166113414677212361372446343552752572,negamax,true,0
5543166113414677212361372446343552752572,alphabeta,true,0
16357157437461355316457465722,negamax,true,68176
16357157437461355316457465722,alphabeta,true,2229
76447166434364334263563717555522715,negamax,true,1
76447166434364334263563717555522715,alphabeta,true,1
